[2026-02-01 22:34:41] Usuario: Admin | Acción: Click | a - 💰 Ventas
[2026-02-01 22:38:16] Usuario: Desconocido | Acción: Click | a - 📜 Historial
[2026-02-01 22:38:18] Usuario: Desconocido | Acción: Click | a - 💰 Ventas
[2026-02-01 22:39:41] Usuario: Desconocido | Acción: Click | a - 💰 Ventas
[2026-02-01 22:39:42] Usuario: Desconocido | Acción: Click | a - 📊 Inventario
[2026-02-01 22:42:06] Usuario: Desconocido | Acción: Click | button - Salir
[2026-02-01 22:45:31] Usuario: Desconocido | Acción: Click | a - 📜 Historial
[2026-02-01 22:45:32] Usuario: Desconocido | Acción: Click | a - 📦 Productos
[2026-02-01 22:46:36] Usuario: Desconocido | Acción: Click | button - Salir
[2026-02-01 22:46:45] Usuario: willibarb2502@gmail.com | Acción: Click | a - 📊 Inventario
[2026-02-01 22:46:46] Usuario: willibarb2502@gmail.com | Acción: Click | a - 👥 Clientes
[2026-02-02 00:54:57] Usuario: Desconocido | Acción: Click | a - 💰 Ventas
[2026-02-02 00:54:58] Usuario: Desconocido | Acción: Click | a - 📦 Productos
[2026-02-02 00:55:03] Usuario: Desconocido | Acción: Click | a - 📊 Inventario
[2026-02-02 00:55:15] Usuario: Desconocido | Acción: Click | a - 👥 Clientes
[2026-02-02 00:55:22] Usuario: Desconocido | Acción: Click | a - 👔 Empleados
[2026-02-02 00:55:28] Usuario: Desconocido | Acción: Click | a - 👥 Usuarios
[2026-02-02 00:55:38] Usuario: Desconocido | Acción: Click | a - 💰 Ventas
[2026-02-02 00:57:46] Usuario: Desconocido | Acción: Click | a - 📜 Historial
[2026-02-02 00:58:04] Usuario: Desconocido | Acción: Click | button - Cerrar
[2026-02-02 00:58:05] Usuario: Desconocido | Acción: Click | a - 💰 Ventas
[2026-02-02 00:58:12] Usuario: Desconocido | Acción: Click | a - 👥 Usuarios
[2026-02-02 00:58:13] Usuario: Desconocido | Acción: Click | a - 👔 Empleados
[2026-02-02 00:58:13] Usuario: Desconocido | Acción: Click | a - 👥 Clientes
[2026-02-02 00:58:31] Usuario: Desconocido | Acción: Click | a - 👥 Clientes
[2026-02-02 00:58:37] Usuario: Desconocido | Acción: Click | a - 💰 Ventas
[2026-02-02 00:58:42] Usuario: Desconocido | Acción: Cambio | input - buscar-cliente-ci = 111
[2026-02-02 00:58:42] Usuario: Desconocido | Acción: Click | button - Buscar
[2026-02-02 00:58:50] Usuario: Desconocido | Acción: Cambio | input - buscar-producto = s
[2026-02-02 00:58:52] Usuario: Desconocido | Acción: Click | button - +
[2026-02-02 00:58:52] Usuario: Desconocido | Acción: Click | button - +
[2026-02-02 00:58:53] Usuario: Desconocido | Acción: Click | button - +
[2026-02-02 00:58:53] Usuario: Desconocido | Acción: Click | button - +
[2026-02-02 00:58:54] Usuario: Desconocido | Acción: Click | button - 📱
                                            QR
[2026-02-02 00:59:03] Usuario: Desconocido | Acción: Click | button - Cerrar
[2026-02-02 00:59:08] Usuario: Desconocido | Acción: Click | button - ✓ Finalizar Venta
[2026-02-02 00:59:23] Usuario: Desconocido | Acción: Click | a - 📜 Historial
[2026-02-02 00:59:37] Usuario: Desconocido | Acción: Click | button - Cerrar
[2026-02-02 00:59:44] Usuario: Desconocido | Acción: Click | button - ×
[2026-02-02 01:06:15] Usuario: Desconocido | Acción: Click | a - 👥 Usuarios
[2026-02-02 01:06:23] Usuario: Desconocido | Acción: Click | a - 👔 Empleados
[2026-02-02 01:15:05] Usuario: Desconocido | Acción: Click | a - 👔 Empleados
[2026-02-02 01:15:15] Usuario: Desconocido | Acción: Click | a - 📜 Historial
[2026-02-02 01:15:25] Usuario: Desconocido | Acción: Click | button - ×
[2026-02-02 01:15:29] Usuario: Desconocido | Acción: Click | button - ×
[2026-02-02 01:15:36] Usuario: Desconocido | Acción: Click | button - ×
[2026-02-02 01:15:47] Usuario: Desconocido | Acción: Click | button - ×
[2026-02-02 01:15:56] Usuario: Desconocido | Acción: Click | button - + Nuevo Empleado
[2026-02-02 01:16:00] Usuario: Desconocido | Acción: Cambio | input - nombre1 = M
[2026-02-02 01:16:04] Usuario: Desconocido | Acción: Cambio | input - nombre1 = Martin
[2026-02-02 01:16:09] Usuario: Desconocido | Acción: Cambio | input - nombre2 = Diego
[2026-02-02 01:16:10] Usuario: Desconocido | Acción: Cambio | input - apellido1 = Te
[2026-02-02 01:16:22] Usuario: Desconocido | Acción: Cambio | input - apellido1 = Tejeda
[2026-02-02 01:16:24] Usuario: Desconocido | Acción: Cambio | input - apellido2 = Gutierrez
[2026-02-02 01:16:26] Usuario: Desconocido | Acción: Cambio | input - fechanac = 0002-11-13
[2026-02-02 01:16:26] Usuario: Desconocido | Acción: Cambio | input - fechanac = 0020-11-13
[2026-02-02 01:16:26] Usuario: Desconocido | Acción: Cambio | input - fechanac = 0200-11-13
[2026-02-02 01:16:27] Usuario: Desconocido | Acción: Cambio | input - fechanac = 2001-11-13
[2026-02-02 01:16:28] Usuario: Desconocido | Acción: Cambio | input - fechanac = 20012-11-13
[2026-02-02 01:16:28] Usuario: Desconocido | Acción: Cambio | input - fechanac = 200120-11-13
[2026-02-02 01:16:28] Usuario: Desconocido | Acción: Cambio | input - fechanac = 1200-11-13
[2026-02-02 01:16:30] Usuario: Desconocido | Acción: Cambio | input - fechanac = 12004-11-13
[2026-02-02 01:16:31] Usuario: Desconocido | Acción: Cambio | input - fechanac = 
[2026-02-02 01:16:32] Usuario: Desconocido | Acción: Cambio | input - fechanac = 0002-11-13
[2026-02-02 01:16:32] Usuario: Desconocido | Acción: Cambio | input - fechanac = 0020-11-13
[2026-02-02 01:16:33] Usuario: Desconocido | Acción: Cambio | input - fechanac = 0200-11-13
[2026-02-02 01:16:33] Usuario: Desconocido | Acción: Cambio | input - fechanac = 2004-11-13
[2026-02-02 01:16:35] Usuario: Desconocido | Acción: Cambio | select - sexo = 1
[2026-02-02 01:16:35] Usuario: Desconocido | Acción: Cambio | select - sexo = 0
[2026-02-02 01:16:36] Usuario: Desconocido | Acción: Cambio | select - sexo = 1
[2026-02-02 01:16:36] Usuario: Desconocido | Acción: Cambio | select - sexo = 
[2026-02-02 01:16:37] Usuario: Desconocido | Acción: Cambio | select - sexo = 1
[2026-02-02 01:16:41] Usuario: Desconocido | Acción: Cambio | input - correo = d.martin.tejeda.g@gmail.com
[2026-02-02 01:16:49] Usuario: Desconocido | Acción: Cambio | input - telefono = 67146870
[2026-02-02 01:16:51] Usuario: Desconocido | Acción: Cambio | select - rol = 2
[2026-02-02 01:16:57] Usuario: Desconocido | Acción: Cambio | input - contraseña = 123456
[2026-02-02 01:16:59] Usuario: Desconocido | Acción: Cambio | input - confirmar-contraseña = 123456
[2026-02-02 01:17:00] Usuario: Desconocido | Acción: Click | button - Registrar Usuario
[2026-02-02 01:17:00] Usuario: Desconocido | Acción: Submit | form-usuario
[2026-02-02 01:17:07] Usuario: Desconocido | Acción: Click | button - Salir
[2026-02-02 01:22:41] Usuario: Desconocido | Acción: Click | a - 👔 Empleados
[2026-02-02 01:22:43] Usuario: Desconocido | Acción: Click | button - Editar
[2026-02-02 01:22:46] Usuario: Desconocido | Acción: Click | button - Editar
[2026-02-02 01:22:47] Usuario: Desconocido | Acción: Click | button - Editar
[2026-02-02 01:22:47] Usuario: Desconocido | Acción: Click | button - Editar
[2026-02-02 01:22:47] Usuario: Desconocido | Acción: Click | button - Editar
[2026-02-02 01:22:53] Usuario: Desconocido | Acción: Click | button - Activar
[2026-02-02 01:22:56] Usuario: Desconocido | Acción: Click | button - Activar
[2026-02-02 01:22:59] Usuario: Desconocido | Acción: Click | button - Activar
[2026-02-02 01:23:01] Usuario: Desconocido | Acción: Click | a - 👔 Empleados
[2026-02-02 01:23:05] Usuario: Desconocido | Acción: Click | button - Salir
[2026-02-02 01:23:29] Usuario: Desconocido | Acción: Click | a - 👥 Clientes
[2026-02-02 01:23:32] Usuario: Desconocido | Acción: Click | a - 👔 Empleados
[2026-02-02 01:23:36] Usuario: Desconocido | Acción: Click | button - Activar
[2026-02-02 01:23:43] Usuario: Desconocido | Acción: Click | button - Eliminar
[2026-02-02 01:23:44] Usuario: Desconocido | Acción: Click | button - + Nuevo Empleado
[2026-02-02 01:23:47] Usuario: Desconocido | Acción: Cambio | input - nombre1 = Martin
[2026-02-02 01:23:48] Usuario: Desconocido | Acción: Cambio | input - nombre2 = Diego
[2026-02-02 01:23:50] Usuario: Desconocido | Acción: Cambio | input - apellido1 = Tejeda
[2026-02-02 01:23:51] Usuario: Desconocido | Acción: Cambio | input - apellido2 = Gutierrez
[2026-02-02 01:23:54] Usuario: Desconocido | Acción: Cambio | input - fechanac = 0002-11-13
[2026-02-02 01:23:54] Usuario: Desconocido | Acción: Cambio | input - fechanac = 0020-11-13
[2026-02-02 01:23:55] Usuario: Desconocido | Acción: Cambio | input - fechanac = 0200-11-13
[2026-02-02 01:23:55] Usuario: Desconocido | Acción: Cambio | input - fechanac = 2004-11-13
[2026-02-02 01:23:58] Usuario: Desconocido | Acción: Cambio | select - sexo = 0
[2026-02-02 01:23:59] Usuario: Desconocido | Acción: Cambio | select - sexo = 1
[2026-02-02 01:24:01] Usuario: Desconocido | Acción: Cambio | input - correo = d.martin.tejeda.g@gmail.com
[2026-02-02 01:24:02] Usuario: Desconocido | Acción: Cambio | input - telefono = 67146870
[2026-02-02 01:24:10] Usuario: Desconocido | Acción: Cambio | select - rol = 2
[2026-02-02 01:24:16] Usuario: Desconocido | Acción: Cambio | input - contraseña = 131313
[2026-02-02 01:24:19] Usuario: Desconocido | Acción: Cambio | input - confirmar-contraseña = 131313
[2026-02-02 01:24:19] Usuario: Desconocido | Acción: Click | button - Registrar Usuario
[2026-02-02 01:24:19] Usuario: Desconocido | Acción: Submit | form-usuario
[2026-02-02 01:24:25] Usuario: Desconocido | Acción: Click | a - 📊 Inventario
[2026-02-02 01:24:26] Usuario: Desconocido | Acción: Click | a - 📦 Productos
[2026-02-02 01:24:28] Usuario: Desconocido | Acción: Click | a - 📜 Historial
[2026-02-02 01:24:32] Usuario: Desconocido | Acción: Click | a - 👔 Empleados
[2026-02-02 01:24:36] Usuario: Desconocido | Acción: Click | button - Activar
[2026-02-02 01:24:43] Usuario: Desconocido | Acción: Click | button - Salir
[2026-02-02 01:25:12] Usuario: Desconocido | Acción: Click | a - 👔 Empleados
[2026-02-02 01:25:18] Usuario: Desconocido | Acción: Click | button - Editar
[2026-02-02 01:25:26] Usuario: Desconocido | Acción: Click | button - Eliminar
[2026-02-02 01:25:27] Usuario: Desconocido | Acción: Click | button - ← Volver
[2026-02-02 01:25:33] Usuario: Desconocido | Acción: Click | a - 📜 Historial
[2026-02-02 01:25:43] Usuario: Desconocido | Acción: Click | button - Cerrar
[2026-02-02 01:25:45] Usuario: Desconocido | Acción: Click | button - Cerrar
[2026-02-02 01:27:59] Usuario: Desconocido | Acción: Click | button - Salir
[2026-02-02 01:28:25] Usuario: Desconocido | Acción: Click | a - 📜 Historial
[2026-02-02 01:28:30] Usuario: Desconocido | Acción: Click | button - ×
[2026-02-02 01:28:36] Usuario: Desconocido | Acción: Click | button - ×
[2026-02-02 01:28:38] Usuario: Desconocido | Acción: Click | a - 📦 Productos
[2026-02-02 01:28:41] Usuario: Desconocido | Acción: Click | button - Editar
[2026-02-02 01:28:43] Usuario: Desconocido | Acción: Click | button - ×
[2026-02-02 01:28:44] Usuario: Desconocido | Acción: Click | a - 👔 Empleados
[2026-02-02 01:28:44] Usuario: Desconocido | Acción: Click | a - 👥 Clientes
[2026-02-02 01:28:51] Usuario: Desconocido | Acción: Click | button - Activar
[2026-02-02 01:28:52] Usuario: Desconocido | Acción: Click | button - + Nuevo Empleado
[2026-02-02 01:28:55] Usuario: Desconocido | Acción: Cambio | input - nombre1 = p
[2026-02-02 01:29:00] Usuario: Desconocido | Acción: Cambio | input - nombre1 = Martin
[2026-02-02 01:29:01] Usuario: Desconocido | Acción: Cambio | input - nombre2 = Diego
[2026-02-02 01:29:03] Usuario: Desconocido | Acción: Cambio | input - apellido1 = Tejeda
[2026-02-02 01:29:04] Usuario: Desconocido | Acción: Cambio | input - apellido2 = Gutierrez
[2026-02-02 01:29:08] Usuario: Desconocido | Acción: Cambio | input - fechanac = 0002-11-13
[2026-02-02 01:29:08] Usuario: Desconocido | Acción: Cambio | input - fechanac = 0020-11-13
[2026-02-02 01:29:08] Usuario: Desconocido | Acción: Cambio | input - fechanac = 0200-11-13
